ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
23,กด/  กดนิ่ง,กด/  บีบ,กด/  ดึง,กด/  บีบ/  กดจุด,ก.,ข่ม ใช้กำลังดันให้ลง บังคับลง
24,กดครีบยาว,,,,น.,ชื่อปลาทะเลชนิดหนึ่ง ลำตัวด้านบนสีฟ้า ท้องสีขาวเหลือง ครืบสีขาวและแดง ปากบนและปากล่างมีหนวดข้างละหกเส้น
25,กดนิ่ง/  กดเนิบ/  กดแช่,กด/  กดแช่/  กดแน่งๆ,กดนิ่ง/  กดค้าง/  กดดึง,กดนิ่ง/  กดลม/  บีบแช่ไว้/  บีบดนๆ/  บีบแฮงๆ/  เน็กชือๆ/  ตึง,ก.,ใช้มือกดถ่ายแรงลงไปค้างไว้ที่เส้นเอ็นหรือส่วนต่างๆ ของร่างกาย
26,กดเน้น/  กดยํ้า/  กดนิ่ง,กดเน้น/  กดแน้น/  กดนานๆ/  กดแช/  กดจุด/  กดให้ถูกเส้น/  กดสิ้นแรง,กดเน้น/  กดหนักๆ/  กดแฮงๆ,กดเน้น/  กดหนัก/  กดเน้นเส้น/  เน็กเส้น/  เน็กให้แฮง/  บีบคักๆ/  บีบเน็กๆ/  บีบเน้น,ก.,ใช้มือกดลงไปตามจุดใดจุดหนึ่งของร่างกายให้เต็มแรง
27,กดผ่อน/  ไล่ลม/  ไล่เส้น,กด/  กดจุด,กดผ่อน/  ผ่อน/  เปิดลม,กดจุด/  กดซํ้า/  กดดุ๋/  โหยก/  บีบคลาย,ก.,ใช้นิ้วมือกดแล้วค่อยๆ ถอยนิ้วออกมา
28,กดย้ำ/  กดคลายกล้ามเนื้อ,กดซํ้า/  กดค่อยๆ/  กดตามเส้น/  กดจุด,กดเรียงนิ้ว/  กดไล่ลม,กดไล่,ก.,กดไล่ตามเส้นไปเรื่อยๆ ซํ้าๆ
29,กดไล่,ยีเส้น/  คลิงเส้น/  ลายเส้น,กดไล่/  คลึง,คลึง/  บี้/  เนียง/  หมุน/  เขย่า,ก.,ใช้นิ้วคลึงไปเรื่อยๆ ตามร่างกายบริเวณที่ปวดหรีอเจ็บ ใช้ในการนวดแผนไทย
30,กทิงวัน,วันแรง,วันมงคล/  วันแฮง,วันดี/  วันแข็ง,น.,วันที่เหมาะมากสำหรับทำพิธีปลุกเสกเครื่องรางของขลัง เป็นเลข 3 ทั้งวัน เดือน และปี คือ วันอังคารที่ 3 ของสัปดาห์ และเดือน 3 ปีขาล ถือว่าเป็นวันแข็งมาก
31,ก้น,ก้น/  ทวยอุด/  หัวอุด/  ขวดมัน/  วาน,ก้น/  ก้นจุ้น/  จุ่นจู๋/  ตูด,ก้น/  ดาก/  ฮูดาก/  กะดุย,น.,ส่วนท้ายสุดของก้นสัตว์ประเภทสัตว์ปีก
32,ก้นกบ/ กระดูกก้นกบ/  ดูกก้นกบ,ก้นกบ/  หัวโค้งโก่งกบ/  บับวาน,ก้นกบ,ก้นกบ/  ไม้ก้นกบ,น.,ปลายกระดูกสันหลังที่สุดลงมาข้างล่าง
