ลำดับ,กลาง,ใต้,เหนือ,อีสาน,ชนิดของคำ,ความหมาย
1887,ชะมดต้น/  ฝ้ายผี,ชะมดต้น/  มุดสัง,,ชะมด/  มด/  ขี้มด/  ไม้ข่าต้น,น.,ชื่อพรรณไม้พุ่มขนาดเล็กชนิดหนึ่ง มีขนปกคลุมทั้งต้น ใบเดี่ยวขอบใบหยัก กลีบดอกสีเหลือง 5 กลีบ กลางดอกด้านในสีม่วงแดง ฝักกลมป้อม เมื่อแก่แตกออก มีเส้นใย ใบ ดอก ลูก เมล็ด ต้น และราก ใช้เป็นยา
1888,ชะมวง/  มวง/  กะมวง/  ต้นซวน,ชะมวง/  มวง/  กะมวง/  ส้มมวง/  ชะมวงทราย,ชะมวง,ชะมวง/  มวง/  ส้มมวง,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางชนิดหนึ่ง เปลือกต้นสีเทาดำ ออกดอกเล็กแข็ง กลิ่นหอม ใบ ลูก ลูกอ่อน และราก ใช้เป็นยา
1889,ชะลูด,ชะลูดขาว/  ลูด/  ชะนูด/  หนูด,,ขี้ตุ่น/  ช้างตุ่น/  ต้นธูป/  ตั้งตุ่น/  ชะลูกช้าง,น.,ชื่อพรรณไม้เถาขนาดเล็กชนิดหนึ่ง ลำต้นเกลี้ยง มียางสีขาว ใบเดี่ยวออกรอบข้อ ออกดอกเป็นช่อ ผลกลมรี ใบ ลูก ราก ดอก เถา และเปลือกเถา ใช้เป็นยา
1890,ชะลูดแดง,ลูดแดง/  ชะนูด/  หนูดแดง,,ชะลูดแดง/  ตั้งตุ่นแดง,น.,ชื่อพรรณไม้เถายืนต้นขนาดกลางชนิดหนึ่ง ใบแข็งหนา เปลือกต้นสีแดง ออกดอกสีขาว เล็ก กลิ่นหอม ใบและราก ใช้เป็นยา
1891,ชะอม,ชะอม/  ยอดอม,ชะอม/  ผักหละ/  ผักละ,ชะอม/  ผักขะ/  ผักขา/  ผักเน่า,น.,ชื่อพรรณไม้เถาทรงพุ่มชนิดหนึ่ง ตามลำต้นและกิ่งก้านมีหนาม ใบประกอบ ใบย่อย ขนาดเล็ก รากใช้เป็นยา
1892,ชะเอมเทศ,ชะเอมเทศ/  ไม้หวาน,ฮางเย็น,ชะเอม,น.,ชื่อพรรณไม้เถายืนต้นขนาดเล็กชนิดหนึ่ง มีรากใหญ่แตกแขนง ใบประกอบรูปขนนก สีเขียวอมเหลือง ออกดอกเป็นช่อ กลีบสีม่วงอ่อน ผลเป็นฝักแบนยาว ฝัก ใบ ดอก ต้น และราก ใช้เป็นยา
1893,ชะเอมไทย/  ชะเอม,ชะเอม/  ส้มป่อยหวาน/  กอกกั๋น/  อ้อยสามสวน/  อ้อยช้าง/  เซเบี๊ยดกาเช,ชะเอม/  เครือหวาน/  ฮางเย็น,ชะเอมไทย/  ชะเอม/  อ้อยสามสวน/  เครือหวาน,น.,ชื่อพรรณไม้เถายืนต้นขนาดกลางชนิดหนึ่ง ลำต้นมีหนาม ใบประกอบ ใบย่อยขนาดเล็ก ออกดอกเป็นช่อสีขาว เล็ก หอม ผลเป็นฝักแบนยาว ใบ ดอก เนื้อไม้ และต้น ใช้เป็นยา
1894,ชัก,,ชัก,,น.,อาการของช้างที่เกิดขึ้น เนื่องจากแคลเซียมตํ่า ช้างที่เลี้ยงในร่มจะไม่ได้รับแสงสว่างเพียงพอให้ร่างกายสร้างวิตามินดี มีผลให้ลำไส้ไม่ดูดซึมแคลเซียม ทำให้เกิดอาการชัก หรืออาจเกิดกับช้างที่เครียดจากการขนส่ง หรือฝึกหนักได้
1895,ชักผ้าบังสุกุล/  ชักผ้าบังสกุล,ชักผ้าบังสุกุล/  ชักผ้า/  ชักบังสุกุล,ชักผ้าบังสุกุล/  ชักผ้า/  จั๊กผ้าปังสุกุล/  ชักอนิจจา,ชักผ้าบังสุกุล/  ชักผ้าบังสกุล,ก.,กิริยาที่พระสงฆ์พิจารณาผ้าบังสุกุลของพระสงฆ์ ก่อนที่จะทำพิธีเผาศพ
1896,,ชักไม้แข่ง,,,น.,ชื่อการละเล่นอย่างหนึ่งของอำเภอไชยา จังหวัดสุราษฎร์ธานี โดยให้ผู้เล่นเข้าป่าช่วยกันตัดไม้ แล้วชักลากแข่งกันออกมาให้วัด ถ้าผู้ใดล้มหรือมือหลุดจากเชือก จะต้องออกจากการแข่งขัน
1897,ชักร่อง,,ไถผ่าริ้ว/  ไถกลางนา/  ไถผ่าแถว/  แบ่งฮิ้ว,ไถซอยคลอง/  ไถตามฮอง/  ไถผ่า,ก.,ไถผ่าเนื้อที่นาเป็นส่วนๆ เป็นร่องยาว เพื่อแบ่งส่วนที่จะไถให้ทั่วถึง
1898,ชักศพ/  เคลื่อนศพ/  หามศพ/  ย้ายศพ,ลากศพ/  เลื่อนศพ,ลากศพ/  ลากปราสาท,เคลื่อนศพ/  หามศพ,ก.,นำศพออกจากบ้านหรือจากศาลาที่สวดเพื่อนำไปเผา
1899,ชันนะตุ/  รำมะตุ,ชันตุ/  ชันโตะ/  ชันยา,ขี้ปุ๊/  เป็นตุ่มกับหัว,หัวชันนะตุ/  หัวเปื่อย/  หัวเน่า/  หัวเป็นขี้เสียน,น.,ชื่อโรคที่เกิดกับหัว เนื่องจากติดเชื้อรา หนังศีรษะเป็นตุ่มแผล พุพอง มีนํ้าเหลืองไหล
1900,ชันโพรง/  ชัน/  ครั่ง,ยางคันเต็ง/  อุง,ก่อฝาก/  ขี้ยาจ้อ,ขี้เซิ้ง/  ขี้ชี่,น.,ยางไม้ที่ออกมาเกาะตัวกัน ได้จากต้นเต็งรัง ใช้เป็นยา
1901,ชาก,ป่าใส,แพะ/  ป่าฮุ่น/  ป่าพง,ป่าด่อน/  ป่าน้อย/  ป่าหญ้า/  เล้า,น.,ป่าละเมาะ อาจเป็นป่าที่ถูกแผ้วถางแล้ว และต้นไม้เล็กๆ แตกต้นขึ้นมาใหม่
1902,ช้าง/  เจ่ง/  เจียง,ช้าง,ช้าง/  จ๊าง,ช้าง/  ซ้าง,น.,สัตว์เลี้ยงลูกด้วยนมชนิดหนึ่ง ตัวสีเทา จมูกยื่นยาว สีขาว เรียกว่า งา ปัจจุบันเหลือ 2 พันธุ์ คือ ช้างเอเชีย และช้างแอฟริกัน
1903,ช้างกัน,,,,น.,"1. ช้างในกระบวนช้างศึก 
2. ช้างที่มีหมอควาญนั่งคอ ควาญกลางช้างนั่งถือหอก มีควาญท้ายเดินอยู่ 2 ข้างริ้วด้านหลัง"
1904,ช้างกำหลากเหลือลาม,ช้างดื้อ,ช้างดื้อ/  ช้างเก/  ช้างลึก/  ช้างเวียน,,น.,ช้างป่าที่เกเร ฝึกยาก ดุดัน ไม่กลัวสิ่งใด
1905,ช้างกูบ/  ช้างเครื่องมหาดเล็ก,,,,น.,ช้างในกระบวนที่เสด็จขึ้นพระพุทธบาท
1906,,ช้างแกลบ/  แกลบ/  ช้างเกรียบ/  ช้างขี้แดง/  ช้างค่อม/  ช้างโพละ/  ช้างหัวแดง,,,น.,ชื่อช้างชนิดหนึ่ง มีขนาดเล็ก อาศัยในที่ราบลุ่ม
1907,ช้างแก้ว,,,,น.,ช้างเกิดคู่บารมีพระยาจักรพรรดิราช
1908,ช้างขนาย/  ช้างพลายแม่/  พลายแม่,ช้างพลายแม่/  ช้างพลาย,ช้างขนาย/  ช้างงาตัด,ช้างหนาย,น.,ช้างตัวเมียที่มีงาสั้น
1909,ช้างขึด/  ช้างทุรลักษณ์,ช้างอุบาทว์,ช้างขึด/  จ๊างขึด,,น.,ช้างลักษณะไม่ดีตามตำราคชลักษณ์
1910,ช้างเข้าปางแรม,,,,น.,เวลาพักผ่อนของช้าง คือ ช่วงเวลาในฤดูร้อนเดือนมีนาคมถึงเดือนพฤษภาคม
1911,ช้างคล้อง,,,,น.,ช้างเชือกที่มีหน้าที่คล้อง
1912,ช้างค่าย,,,,น.,ช้างในริ้วกระบวน มี 6 เชือก เดินหน้าสองแถว แถวละ 3 เชือก
1913,ช้างคํ้า,,ช้างคํ้า,,น.,ช้างที่มีหน้าที่ช่วยป้องกันช้างเถื่อนไม่ให้ทำอันตรายแก่ช้างคล้อง
1914,ช้างโคตรแล่น/  ช้างแซง,,,,น.,ช้างในกระบวนช้างศึก
1915,ช้างงาเครือ,ช้างงาหวาย,ช้างหวาย,งาเล็ก,น.,ช้างพลายที่มีงาเล็ก ยาว และเรียว
1916,ช้างงาเดียว/  ว่านงาช้าง,จดธรณี/  หอกสุรกานต์,,ช้างงาเดียว/  งาช้าง/  ช้างงา/  หยิกบ่ถอง/  แพรพันชั้น/  เอียนด่อน,น.,ชื่อพรรณไม้ขนาดเล็กชนิดหนึ่ง ใบยาว ปลายเรียวแหลม สีเขียว มีหนามตามกิ่งและโคน รากใช้เป็นยา
1917,ช้างงาปลี,ช้างงาตรง,ช้างงาปลี,,น.,ช้างพลายที่มีงาใหญ่
1918,ช้างชนะงา/  ช้างดี,,,,น.,ช้างชั้นเยี่ยม เป็นช้างมีงาที่ได้รับการฝึกให้รู้จักการต่อสู้หรือเคยผ่านสงครามชนช้างชนะมาแล้ว
1919,ช้างชำนิ/  ช้างเนียง,,,,น.,ช้างสำหรับขี่ ช้างที่นัง
1920,ช้างใช้งาน,ช้างทำงาน,ช้างใช้งาน,ช้างทำงาน,น.,ช้างที่ได้รับการฝึกเพื่อใช้งาน เช่น เพื่อขนซุง เป็นต้น
1921,ช้างซับมัน,ช้างตกมัน,ช้างกำลังซึม/  จ๊างกำลังซึม,ช้างตกมัน/  ซ้างตกมัน,น.,ช้างที่มีนํ้ามันออกจากรูนํ้ามันมาซึมอยู่ แต่ไม่ไหลย้อย
1922,ช้างแซง,,,,น.,ช้างในกระบวนช้างศึก
1923,ช้างดั้ง,,,,น.,ช้างในกระบวนช้างศึก ใช้สำหรับขับขี่ออกหน้า คอยกันกระบวนช้างหลวง
1924,ช้างแดง,,ช้างแดง,,น.,ช้างขนาดเล็ก มีขนสีแดง นิสัยดุร้าย เร่ร่อน ไปตามทุ่ง ทำให้ตกใจได้ยาก
1925,ช้างตกมัน/  ช้างย้อย/  ช้างย้อยนํ้ามัน/  ช้างลงมัน/  ช้างซับมัน/  กำราก/  กำหราก,ช้างตกมัน,ช้างตกมัน/  จ๊างตกมัน/  ช้างย้อย/  จ๊างย้อย/  ช้างย้อยนํ้ามัน/  จ๊างย้อยมันตก/  ช้างลงมัน/  จ๊างลงมัน,ช้างตกมัน/  ซ้างตกมัน/  ช้างย้อย/  ซ้างย้อย,น.,ช้างที่อยู่ในช่วงที่มีนํ้ามันไหลออกจากรูนํ้ามัน ซึ่งอยู่ใต้ขมับลงมา ช่วงนี้ช้างจะมีอาการดุร้าย ไม่อยู่นิ่ง มีปัสสาวะไหลหยดตลอดเวลา
1926,ช้างต้น,,,,น.,ช้างที่ขึ้นระวางเป็นช้างหลวงส่วนพระองค์ ของพระมหากษัตริย์
1927,ช้างต้นสัดปลายสัด,,,,น.,ช้างที่คอยระวังช่วยช้างค้ำอยู่ห่างๆ
1928,ช้างต่อ/  ช้างผะชด,,ช้างต่อ,,น.,"1. ช้างพังที่ควาญนำไปล่อช้างป่าให้ตามมาเข้าเพนียด 
2. ช้างที่หมอเฒ่าขี่ในการจับช้าง"
1929,ช่างต่อโลง,ช่างทำโลงศพ,สล่าทำเรือน ศพ,ช่างทำศพ,น.,คนสร้างโลงศพ
1930,ช้างตาม,,,,น.,ช้างในกระบวนอิสริยยศของพระยาช้างต้น
1931,ช้างท้อง/  ช้างชำนิ,ช้างเชียง/  ช้างมง,ช้างมาน,ช้างมาน,น.,ช้างที่กำลังจะมีลูก
1932,ช่างทำเมรุ,ช่างทำเมรุ,สล่าตัดไม้ศพ,คนทำเมรุ,น.,คนทำเมรุเผาศพ
1933,ช้างทูนบาศ,,,,น.,ช้างในกระบวนหน้าของริ้วกระบวนแห่ช้างสำคัญในวันพระราชพิธีสมโภช
1934,ช้างแทรก/  ช้างแซก,,,,น.,ช้างในกระบวนช้างศึกที่ไม่มีควาญช้างหลัง
1935,ช้างโทน,,ช้างตัว,ช้างโทน/  ซ้างโทน,น.,ช้างพลายที่ชอบท่องเที่ยวออกไปอยู่ตัวเดียว โดดเดี่ยว
1936,ช้างนรกาย,,ช้างงาสั้น,,น.,ช้างที่มีงาสั้น
1937,ช้างน้าว/  ตานกกรด/  ประดงเลือด,ช้างน้าว/  กรดนํ้า/  ตานกกรด,หำฟาน/  อุ่นขี้ไก่,ช้างน้าว/  ตานนกกรดตัวเมีย/  จันนกกรด/  กะโรงแดง/  หมาตายทากลาก,น.,ชื่อพรรณไม้ยืนต้นขนาดกลางถึงใหญ่ชนิดหนึ่ง กิ่งก้านอ่อนมีขนละเอียดสีนํ้าตาล ใบเดี่ยวรูปหอกหรือไข่กลับ ปลายแหลมสีเขียวเรียงสลับ ออกดอกเล็กสีขาว ผลรูปไข่เมื่อแก่สีนํ้าตาลแดง เมล็ดสีดำ มีรากสีแดง เนื้อไม้ใช้เป็นยา
1938,ช้างนำ,,,,น.,ช้างในกระบวนหน้าของริ้วกระบวนแห่ช้าง สำคัญในวันพระราชพิธีสมโภช
1939,ช้างเนียม,ช้างกวม,,,น.,"1. ช้างที่มีงาคุดสั้นโดยธรรมชาติ ปลายงามน 
2. ช้างที่มีพื้นหนังสีดำ เล็บดำ และงาลักษณะเหมือนปลีกล้วย"
1940,ช้างเนียมชั้นตรี,ช้างงาห้าหยวก,,,น.,ช้างที่มีงายาวกว่า 5 นิ้ว แต่ไม่ถึง 6 นิ้ว
1941,ช้างเนียมชั้นโท,ช้างงาห้าเล็ก,,,น.,ช้างที่มีงายาวกว่า 2 นิ้ว แต่ไม่ถึง 5 นิ้ว
1942,ช้างเนียมชั้นเอก,ช้างงาห้าปลี,,,น.,ช้างที่มีงาสั้น 2 นิ้ว
1943,,,,ช่างบั้งไฟ,น.,คนทำบั้งไฟ ซึ่งต้องได้รับการถ่ายทอดการทำบั้งไฟจากบรรพบุรุษ
1944,ช้างบ้าน/  ช้างคอก/  ช้างเลี้ยง,ช้างบ้าน/  กะจ๊ะ,ช้างเลี้ยง/  จ๊างเลี้ยง/  ลูกคอก,ช้างบ้าน/  ซ้างบ้าน,น.,ช้างที่นำมาเลี้ยงไว้ใช้งาน ช้างที่ได้จดทะเบียนตามพระราชบัญญัติสัตว์พาหนะ พ.ศ.2482 ชอบหากินกลางวัน นอนกลางคืน
1945,ช้างบำรูงา,,,,น.,ช้างที่ได้รับการฝึกเพื่อการศึกสงคราม
1946,ช้างบิเดาะ,,,,น.,ช้างที่ร่างกายไม่สมบูรณ์ เป็นช้างพิการ
1947,ช้างป่า,ช้างเถื่อน,ช้างป่า/  จ๊างป่า,ช้างป่า/  ซ้างป่า,น.,ช้างที่อยู่ตามป่าที่ไม่มีเจ้าของ และไม่ได้จดทะเบียนตามพระราชบัญญัติสัตว์พาหนะ พ.ศ.2482 ชอบหากินกลางคืน นอนกลางวัน
1948,ช้างปืน,,,,น.,ช้างในกระบวนที่เสด็จขึ้นพระพุทธบาท
1949,ช้างผัดพาน,,,,น.,ช้างที่ผลัดเปลี่ยนหรือช่วยช้างคํ้าไล่ต้อนช้างเถื่อน
1950,ช้างเผือก,ช้างเผือก,ช้างเผือก/  จ๊างเผือก,ช้างเผือก/  ซ้างเผือก,น.,ตำแหน่งของช้างที่ได้รับแต่งตั้งจากพระมหากษัตริย์ ถือว่าเป็นช้างในตระกูลชาติพรหมพงศ์ อิศวรพงศ์ พิษณุพงศ์หรืออัคนิพงศ์ มีลักษณะ 7 สี คือ สีขาว เหลือง เขียว แดง ดำ ม่วง เมฆ และมีตา เล็บ ขน เป็นต้น ประกอบตามคชลักษณ์ เป็นลักษณะพิเศษ หาได้ยาก มีสติปัญญา มีบุญบารมี เป็นสัตว์มงคล ให้คุณแก่เจ้าของ และเป็นเครื่องมงคล
1951,ช้างเผือกตรี,,,,น.,ช้างเผือกที่มีลักษณะสมบูรณ์ ผิวสีใบตองอ่อนตากแห้ง จัดเป็นช้างมงคล
1952,ช้างเผือกโท,,,,น.,ช้างเผือกที่มีลักษณะสมบูรณ์ ผิวสีดอกบัวแดงที่โรยแล้ว จัดเป็นช้างมงคล เหมาะใช้เป็นช้างศึก
1953,ช้างเผือกเอก,,,,น.,ช้างเผือกที่มีลักษณะสมบูรณ์ ผิวสีขาวนวล เหมือนสีหอยสังข์ จัดเป็นช้างมงคลคู่บ้านคู่เมือง
1954,ช้างพระไชย,,,,น.,ช้างในกระบวนช้างศึก สำหรับบรรทุกพระพุทธรูปชื่อ พระไชย เพื่อเป็นขวัญกำลังใจแก่กองทัพ
1955,ช้างพระประเทียบ,,,,น.,ช้างในกระบวนเสด็จขึ้นพระพุทธบาท
1956,ช้างพลาย,ซ้างพลาย,ช้างพลาย/  ช้างพลายงา/  จ๊างปาย/  ปาย/  ช้างผู้/  จ๊างปู้,ช้างพลาย/  ซ้างพลาย/  จิงเช้า,น.,ช้างเพศผู้
1957,ช้างพลายแม่,พลาย,ช้างพลายแม่,,น.,ช้างพลายมีขนาย
1958,ช้างพัง,ช้างพัง,ช้างพัง/  จ๊างปัง/  ช้างแม่/  จ๊างแม่,ช้างพัง/  ซ้างพัง/  ช้างแม่/  ซ้างแม่,น.,ช้างเพศเมีย ไม่มีงา
1959,ช้างพังคา,,,,น.,ช้างในกระบวนพิธี เป็นช้างผูกเครื่องมั่นสำหรับเจ้าพระยาเสนาบดีหรือเจ้าเมืองประเทศราช
1960,ช้างแม่แปรก/  แม่แปรก/  ตำแหรก/  อีแปรก/  แม่หนัก/  ช้างแม่โข้,จ่าช้าง,ช้างแม่แปรก/  ช้างแม่แปรกหัวหน้าโขลง/  แม่แปรก/  ช้างแม่โข้/  แม่โข้,ช้างแม่แปรก/  แม่ตำแหล้,น.,หัวหน้าหมู่ช้าง มักเป็นช้างพังขนาดใหญ่
1961,ช้างยืนโรง,,ช้างยืนโรง,,น.,ช้างที่อยู่ประจำโรง
1962,ช้างระวาง,,,,น.,ช้างที่ฝึกจนใช้การได้ในราชการ
1963,ช้างเร่ร่อน,ช้างเร่ร่อน,ช้างเร่ร่อน/  จ๊างเร่ร่อน,ช้างเร่ร่อน/  ซ้างเร่ร่อน,น.,"1 . ช้างที่ออกไปหากินต่างถิ่นที่มีอาหารกินสมบูรณ์ 
2. ช้างที่ไม่อยู่เป็นที่"
1964,ช้างล้อมวัง,,,,น.,ช้างในกระบวนช้างศึก
1965,ช้างเวร,,,,น.,ช้างเถื่อนที่เคยถูกต้อนมาแล้วหลายหน
1966,ช้างสวมตอ/  ช้างสวมโสร่ง,ช้างเปลี่ยน/  เปลี่ยนช้าง,,,น.,ช้างที่ถูกจัดหามาแทนช้างที่ถูกจำหน่ายออกไป
1967,ช้างสำคัญ,,,,น.,"1. ช้างที่มีคชลักษณ์ 7 ประการคือ ตาขาว เพดานขาว เล็บขาว ขนขาว พื้นหนังขาว ขนหางขาว เป็นช้างที่ใช้ในพิธีมงคล ถือว่ามีเกียรติศักดิเท่ากับเจ้าฟ้าพระองค์หนึ่ง 
2. ช้างชั้นสูง แต่ยังไม่ได้สมโภชเป็นช้างเผือก"
1968,ช้างสีดอ/  สีดอ/  ช้างงวง/  ช้างกวม,ช้างสีดอ/  สีดอ/  ช้างนรการ/  ช้างกรวม/  กวม,ช้างสีดอ/  จ๊างสีดอ/  สีดอ,ช้างสีดอ/  ช้างดอ/  ซ้างดอ/  สีดอ,น.,ช้างพลายที่งาสั้นกว่าช้างพลายทั่วไป
1969,ช้างหัวป่า,,,,น.,ช้างที่ถูกจับได้โดยผู้จับช้างมอบให้เป็นช้างหลวง
1970,ช้างหูหางสัก,ช้างหูเมอ,ช้างหูงาม,ข้างหูงาม,น.,ช้างที่มีหูและหางไม่แหว่ง ไม่ฉีกขาด
1971,ช้างเหยียบ,หางควาย,,,น.,ชื่อปลาทะเลชนิดหนึ่ง ลำตัวยาว ผิวลำตัวสีนํ้าตาลอ่อนและมีลายคาดสีนํ้าตาลไหม้ ส่วนหัวใหญ่แบนลาดลงมายังปาก ปากกว้างมาก ตาโปนเล็กน้อย ครีบหูแผ่กว้างแบนราบ พบมากตามพื้นทะเลทั่วไปในอ่าวไทย
1972,ช้างเหลือขอ,,ช้างเหลือคำ/  จ๊างฮ้าย,ช้างดื้อ/  ซ้างดื้อ,น.,ช้างที่มีนิสัยดื้อดึง ใช้ขอสับอย่างไรก็เอาไม่อยู่
1973,ช้างเหาะ,,ช้างเถื่อน/  จ๊างเถื่อน,ช้างเถื่อน/  ซ้างเถื่อน,น.,ช้างที่ถูกเคลื่อนย้ายออกนอกพื้นที่โดยไม่ได้รับอนุญาต
1974,ช้างอุทาม,,,ช้างขาด,น.,ช้างบ้านที่หนีเข้าป่า
1975,ช้างเอเชีย,ช้างเอเชีย,ช้างเอเชีย,,น.,ช้างที่อาศัยอยู่ตามป่าประเทศไทย อินเดีย พม่า มอญ กัมพูชา ศรีลังกา และมาเลเซีย สูงประมาณ 3 เมตร หัวเป็นโหนก มันสมองมาก ใบหูเป็นแผ่นกว้างและขอบหูด้านบนอยู่ในระดับของหัวช้าง ปลายงวงมีจะงอยเดียว หางเป็นเส้นโตสีดำ หูแหว่งมาก แสดงถึงอายุมาก
1976,ช้างแอฟริกา,,ช้างแอฟริกา,,น.,ช้างที่อาศัยอยู่ในทวีปแอฟรีกา สูงประมาณ 3.5 เมตร มีโหนกที่หัวเพียงลอนเดียว ใบหูใหญ่มาก ปลายงวงมี 2 จะงอย ตัวผู้และตัวเมียมีงาเหมือนกัน
1977,ชานหมาก,ชานหมาก,ขี้หมาก,ชานหมาก/  คำหมาก/  ขี้คำหมาก,น.,กากหมากที่เคี้ยวแล้ว
1978,ช้าแป้น/  ชะแป้ง/  ฉับแป้ง/  ฝ่าแป้ง/  สะแป้ง/  ขากะอ้าย/  ขาตาย/  หูควาย/  ดับยาง/  มะเขือดง/  ส่างโมง,ใบหูควาย,มะเขือปู้,ช้าแป้น/  มะเขือป่า/  บักเขียป่า,น.,ชื่อพรรณไม้ทรงพุ่มชนิดหนึ่ง ทุกส่วนของต้นมีขนละเอียดสีขาวปกคลุม ใบเดี่ยวรูปไข่กว้างปลายแหลม ออกดอกสีขาว เกสรตัวผู้สีเหลือง ผลกลมเป็นพวง ผลใช้เป็นยา
1979,,ชายแท่น,ผ้ามุงสังฆะ,,น.,ผ้าที่ขึงอยู่เหนือแท่นสงฆ์ สูงจากพื้นขึ้นไปประมาณ 2 เมตร เป็นรูปสี่เหลี่ยมผืนผ้า มีขนาดกว้างยาวเท่ากับขนาดของแท่นสงฆ์ที่อยู่ด้านล่าง มักตกแต่งประดับรอบๆ ชายผ้าที่ห้อยลงมาด้วยตาข่ายหรือพู่ห้อยให้สวยงาม
1980,,,ชายน้ำเหมย,,ก.,นำกว่างพร้อมอ้อยไปราดตามใบข้าวที่เปียกนํ้าค้างในตอนเช้า
1981,ชายสามโบสถ์,ชายหลายโบสถ์,หนานสะดอ,คึดฮอดผ้าเหลือง,น.,คนที่สึกจากพระได้ไม่นานแล้วกลับไปบวชอีก
1982,ชาฤๅษี/ ผักดุก/ ผักดูด,ชาป่า,ชาข่อย/ จ๊าข่อย/ กานํ้า,ผักดูด/ ผักดุด,น.,ชื่อพรรณไม้พุ่มชนิดหนึ่ง ต้นและกิ่งเรียวเล็ก ผิวเรียบ ใบเดี่ยวออกสลับกัน ออกดอกเป็นช่อเล็กยาวตามง่ามใบ มีสีเขียว ใบและต้นใช้เป็นยา
1983,ชาวประมง,ชาวประมง/ ชาวเล,ชาวประมง/ คนหาปลา,ชาวประมง/ คนหาปลา,น.,ผู้ที่ทำอาชีพออกทะเลเพื่อจับสัตว์ทะเลเลี้ยงชีพ
1984,ชาวเรือ/ ชาวแพ,ชาวเล/ ชาวนํ้า/ ชาวประมง,ชาวเรือ/ คนเรือ,คนเรือ,น.,คนที่อาศัยเรือเป็นที่อยู่หลับนอนแทนบ้านเรือน มักอาศัยเป็นชุมชนบริเวณหัวคลอง
1985,,ช่าหนมจีน,ขอบส่า,ตัวกะต่อง,น.,ส่วนประกอบของกะต่องข้าวปุ้น สานด้วยไม้ไผ่ รูปร่างคล้ายตะกร้าเล็กๆ ปากสานเป็นลายขัดด้วยตอกไม้ไผ่
1986,ชำมะนาด,ชมนาด,ชำปะนาด/ หญ้าช้างย้อม/ หญ้าช้างน้อย/ หางเม่นเครือ,ชมมะนาด/ อุ่มฟูม/ ฟูมฟูม/ ข้าวใหม่,น.,ชื่อพรรณไม้เถาชนิดหนึ่ง ลำต้นแข็งสีเขียวคลํ้าตกกระ มียางขาว ใบเดี่ยว ออกดอกเป็นช่อเล็กรูปดาวสีขาวหอม ยางและดอกใช้เป็นยา
1987,ชำมะเลียงบ้าน,พุมเรียง,ชำมะเลียงบ้าน/ ชำมะเลียง/ ชุมเรียง/ พุมเรียง/ พุมเรียงสวน/ มะเต้า/ มะเถ้า,ชำมะเลียง/ เลียงบ้าน/ บักเลียงบ้าน/ พูเวียง,น.,ชื่อพรรณไม้พุ่มขนาดย่อมชนิดหนึ่ง ใบประกอบ ใบย่อยรูปหอกเรียวยาวสีเขียวเข้ม ออกดอกช่อเล็กสีแดง ผลรูปหัวใจ มีร่องตรงกลางแบ่งเป็นสองพู เมื่อสุกสีดำ รากใช้เป็นยา
1988,ชำมะเลียงป่า,พุมเรียง,หมากหำฮอก/ มะหำฮอก/ บ่าหำฮอก,ชำมะเลียงปา/ ชำมะเลียง/ เลียงป่า/ บักเลียงป่า,น.,ชื่อพรรณไม้พุ่มชนิดหนึ่ง ออกดอกเป็นช่อสีเหลือง ผลกลมเท่าลูกมะแว้ง เมื่อสุกสีดำด้าน รสหวานเย็น รากใช้เป็นยา
1989,ชิก,เดินเครื่องช้า,,เบาเครื่อง,ก.,เดินเครื่องยนต์เรือแบบเบาสุด
1990,ชิกหมึก,จับมึก,,,ก.,จับปลาหมึกโดยเดินเครื่องเรือแบบเบาสุด เพื่อไม่ทำให้ปลาหมึกตกใจและปลาหมึกจะไม่ขาดเมื่อถูกดึงขึ้นจากน้ำ
1991,ชิงชัน/ ประดู่ชิงชัน,ชิงชัน,ชิงชัน/ เก็ดแดง,ชิงชัน/ ประดู่ชิงชัน/ ไม้ยุง/ ไม้พะยุง/ แก่นพะยุง,น.,ชื่อพรรณไม้ยืนต้นขนาดใหญ่ชนิดหนึ่ง ใบย่อยรูปไข่ยาว ออกดอกเป็นช่อสีขาวอมม่วง ฝักแบน แก่นและเปลือก ใช้เป็นยา
1992,ชิงช้าชาลี/ บอระเพ็ดตัวผู้/ เครือหางหนู,ช้องชาลี/ บอระเพ็ดตัวผู้,ชิงชาลี/ บอระเพ็ดตัวผู้/ จุ่งจะริงตัวพ่อ,เครือก่อฮ่อ/ เคียก่อฮ่อ/ กระเข้าสีดา/ เครือหางด้วน,น.,ชื่อพรรณไม้เถาชนิดหนึ่ง ผิวเกลี้ยงไม่มีตุ่ม ใบเดี่ยวรูปหัวใจสีเขียว ออกดอกตัวผู้เป็นช่อเล็กสีเหลือง ดอกตัวเมียเป็นดอกเดี่ยว ผลกลมเป็นมัน ฉํ่านํ้า ใบ ดอก เถา และราก ใช้เป็นยา
